"","term","pos.neg"
"556","chatterbox","negative"
"558","cheapen","negative"
"559","cheapli","negative"
"560","cheat","negative"
"562","cheater","negative"
"566","cheerless","negative"
"567","cheesi","negative"
"568","chide","negative"
"572","chintzi","negative"
"573","choke","negative"
"574","choler","negative"
"575","choppi","negative"
"578","chunki","negative"
"579","clamor","negative"
"581","clash","negative"
"588","cloud","negative"
"591","clueless","negative"
"593","clunki","negative"
"595","cocki","negative"
"596","coerc","negative"
"597","coercion","negative"
"598","coerciv","negative"
"601","collaps","negative"
"602","collud","negative"
"603","collus","negative"
"605","combust","negative"
"609","commot","negative"
"612","complain","negative"
"616","complaint","negative"
"619","complic","negative"
"621","complicit","negative"
"622","compuls","negative"
"626","conceit","negative"
"628","concen","negative"
"630","concern","negative"
"643","condescens","negative"
"648","conflict","negative"
"652","confound","negative"
"655","confront","negative"
"658","confus","negative"
"664","congest","negative"
"667","conscon","negative"
"671","conspiraci","negative"
"673","conspir","negative"
"674","conspiratori","negative"
"676","constern","negative"
"677","contagi","negative"
"678","contamin","negative"
"683","contempt","negative"
"685","contemptu","negative"
"690","contort","negative"
"692","contradict","negative"
"696","contraven","negative"
"699","controversi","negative"
"702","corrod","negative"
"703","corros","negative"
"706","corrupt","negative"
"712","costlier","negative"
"714","counter-product","negative"
"715","counterproduct","negative"
"716","coupist","negative"
"717","covet","negative"
"718","coward","negative"
"720","crabbi","negative"
"724","craftili","negative"
"727","cramp","negative"
"730","cranki","negative"
"731","crap","negative"
"732","crappi","negative"
"734","crash","negative"
"738","crass","negative"
"739","craven","negative"
"741","craze","negative"
"742","crazili","negative"
"743","crazi","negative"
"745","creak","negative"
"748","credul","negative"
"749","creep","negative"
"753","crept","negative"
"754","crime","negative"
"759","crippl","negative"
"763","crisi","negative"
"772","cronyism","negative"
"773","crook","negative"
"776","crowd","negative"
"777","crowded","negative"
"779","cruel","negative"
"780","crueler","negative"
"781","cruelest","negative"
"782","cruelli","negative"
"784","cruelti","negative"
"788","crummi","negative"
"792","crush","negative"
"795","cri","negative"
"796","culpabl","negative"
"797","culprit","negative"
"798","cumbersom","negative"
"799","cunt","negative"
"801","cuplrit","negative"
"802","curs","negative"
"805","curt","negative"
"806","cuss","negative"
"811","d*mn","negative"
"812","damag","negative"
"816","damn","negative"
"817","damnabl","negative"
"819","damnat","negative"
"822","damper","negative"
"823","danger","negative"
"826","dark","negative"
